fact_id,subsector_slug,theme,claim,source_name,source_url,source_type,source_quality,source_date,captured_at,confidence,review_status,evidence_scope
crude-tankers-unctad-hormuz-2025,crude_tankers,exit_risk,"UNCTAD's 2025 maritime review identifies Strait of Hormuz disruption as material to seaborne oil trade, so crude-tanker cycle reads should treat rerouting and trade-flow disruption as transition or exit-risk evidence.",UNCTAD Review of Maritime Transport 2025,https://unctad.org/publication/review-maritime-transport-2025,public_report,public_institution,2025-09-24,2026-05-26,0.84,reviewed,public
product-chemical-tankers-iea-omr-2026,product_chemical_tankers,market_driver,"IEA Oil Market Report coverage of refining activity, oil trade, inventories, supply, demand, and prices is directly relevant to product and chemical tanker cycle checks beyond crude-price direction.",IEA Oil Market Report - May 2026,https://www.iea.org/reports/oil-market-report-may-2026,public_report,public_institution,2026-05-13,2026-05-26,0.82,reviewed,public
dry-bulk-unctad-freight-2025,dry_bulk,transition_evidence,"UNCTAD reports dry-bulk freight strength in 2024 followed by softening in 2025, making freight-rate direction a contradiction check for any commodity-led dry-bulk recovery signal.",UNCTAD Review of Maritime Transport 2025,https://unctad.org/publication/review-maritime-transport-2025,public_report,public_institution,2025-09-24,2026-05-26,0.82,reviewed,public
lng-lpg-shipping-iea-gas-q2-2026,lng_lpg_shipping,exit_risk,"IEA's Q2 2026 gas report highlights LNG supply disruption and strong gas-price volatility, so LNG/LPG shipping reads should check gas balances and route risk before calling continuation.",IEA Gas Market Report Q2 2026,https://www.iea.org/reports/gas-market-report-q2-2026,public_report,public_institution,2026-04-24,2026-05-26,0.84,reviewed,public
offshore-vessels-drilling-iea-omr-2026,offshore_vessels_drilling,capex_driver,"IEA's May 2026 oil-market deficit and inventory-draw backdrop supports using oil balances and price volatility as offshore vessel and drilling capex-cycle evidence, not as a standalone equity signal.",IEA Oil Market Report - May 2026,https://www.iea.org/reports/oil-market-report-may-2026,public_report,public_institution,2026-05-13,2026-05-26,0.82,reviewed,public
oil-gas-ep-world-bank-cmo-2026,oil_gas_ep,commodity_cycle,"World Bank's April 2026 commodity outlook frames the energy-price shock as a major macro input, so E&P cycle reads should separate commodity cash-flow support from geopolitical exit risk.",World Bank Commodity Markets Outlook,https://www.worldbank.org/en/research/commodity-markets,public_report,public_institution,2026-04-28,2026-05-26,0.82,reviewed,public
oil-services-iea-eia-2026,oil_services,source_quality,"IEA oil-market analysis and EIA Open Data provide public anchors for prices, inventories, supply, and demand before oil-service backlog or order-intake claims are used as cycle evidence.",IEA Oil Market Report - May 2026,https://www.iea.org/reports/oil-market-report-may-2026,public_report,public_institution,2026-05-13,2026-05-26,0.8,reviewed,public
seafood-aquaculture-nsc-exports-2025,seafood_aquaculture,contradiction_evidence,"The Norwegian Seafood Council reported record 2025 seafood export value alongside higher salmon volume, so seafood-cycle reads should check price realization and volume mix rather than headline value alone.",Norwegian Seafood Council,https://www.mynewsdesk.com/seafood/pressreleases/price-growth-for-wild-fish-and-increased-salmon-volume-resulted-in-record-value-for-norwegian-seafood-exports-in-2025-3423570,public_report,industry_body,2026-01-06,2026-05-26,0.84,reviewed,public
metals-aluminum-world-bank-cmo-2026,metals_aluminum,commodity_cycle,"World Bank's April 2026 commodity outlook covers energy, metals, critical minerals, agriculture, precious metals, and fertilizers, making commodity breadth a necessary check for aluminum and metals-cycle recovery claims.",World Bank Commodity Markets Outlook,https://www.worldbank.org/en/research/commodity-markets,public_report,public_institution,2026-04-28,2026-05-26,0.82,reviewed,public
renewables-iea-2025,renewables,sector_driver,"IEA Renewables 2025 emphasizes policy changes, manufacturing trends, and sector financial health, matching the radar's focus on rates, project returns, and supply-chain evidence for renewables.",IEA Renewables 2025,https://www.iea.org/reports/renewables-2025,public_report,public_institution,2025-10-07,2026-05-26,0.82,reviewed,public
norwegian-banks-norges-bank-fsr-2026,norwegian_banks,credit_risk,"Norges Bank's 2026 H1 financial-stability report identifies Norwegian banks' substantial commercial-real-estate exposure as a vulnerability, so bank-cycle confidence should reflect CRE credit risk.",Norges Bank Financial Stability Report 2026 H1,https://www.norges-bank.no/en/news-events/publications/Financial-Stability-report/2026-1-fsr/web-report-2026-1-financial-stability-report/,official_report,official,2026-05-12,2026-05-26,0.86,reviewed,public
real-estate-norges-bank-fsr-2026,real_estate,transition_evidence,"Norges Bank's 2026 H1 financial-stability report says commercial-property selling prices rose at the beginning of 2025 and have since been broadly flat, a transition watch item for real estate.",Norges Bank Financial Stability Report 2026 H1,https://www.norges-bank.no/en/news-events/publications/Financial-Stability-report/2026-1-fsr/web-report-2026-1-financial-stability-report/,official_report,official,2026-05-12,2026-05-26,0.86,reviewed,public
industrial-tech-exporters-imf-weo-2026,industrial_tech_exporters,macro_risk,"IMF's April 2026 World Economic Outlook frames geopolitical tension, energy shocks, inflation pressure, and financial conditions as global-cycle risks, so exporter-cycle reads should require macro confirmation.",IMF World Economic Outlook April 2026,https://www.imf.org/en/publications/weo/issues/2026/04/14/world-economic-outlook-april-2026,public_report,public_institution,2026-04-14,2026-05-26,0.8,reviewed,public
